,start_period,end_period,quarterly_return
0,2021-01-04,2021-03-31,0.7809967175849015
1,2021-04-01,2021-06-30,-1.213705557360687
2,2021-07-01,2021-09-30,0.04527701032437256
3,2021-10-01,2021-12-31,-0.5887044270359196
4,2022-01-03,2022-03-31,1.4406397865647138
5,2022-04-01,2022-06-30,5.023687893369211
6,2022-07-01,2022-09-30,4.980905626779901
7,2022-10-03,2022-12-30,-0.012681826534660087
8,2023-01-03,2023-03-31,-0.8185463910261844
9,2023-04-03,2023-06-30,1.0527024415069715
10,2023-07-03,2023-09-29,0.11686990952437137
11,2023-10-02,2023-12-29,-0.3079258124916541
