,start_period,end_period,Govt,ESG,Shariah
0,2021-01-04,2021-03-31,-14.021835724260562,7.966560118023054,-2.056807051909971
1,2021-04-01,2021-06-30,4.974183695731232,7.553754362264896,0.1498501498502575
2,2021-07-01,2021-09-30,0.10404383713675618,-0.0729014788585724,-0.9499999999999287
3,2021-10-01,2021-12-31,1.9539043687650353,9.547376018146231,-0.7560483870967767
4,2022-01-03,2022-03-31,-8.468468468468481,-8.942172073342743,-4.6286876907427175
5,2022-04-01,2022-06-30,-13.227073576068884,-16.934321597694083,-4.206602768902985
6,2022-07-01,2022-09-30,-11.543774823001282,-6.778828441606293,-3.707802988378521
7,2022-10-03,2022-12-30,-4.112491572763155,5.6332606185036065,1.891117478510078
8,2023-01-03,2023-03-31,4.8393455548985935,7.0757594241796005,1.359003397508435
9,2023-04-03,2023-06-30,-3.4333958724202187,6.578647848850538,-0.7838745800672408
10,2023-07-03,2023-09-29,-13.117163009404392,-4.124040920716113,-1.8068887634105568
11,2023-10-02,2023-12-29,13.74669274128607,12.138792814905772,3.519907674552765
